author_title,review_text,review_rating
sathvik kullolli,"Surely not worth the money.Go for some other institutes which are way better than the so called jigsaw academy.Don't waste your hard earned money trusting  jigsaw academy.They tell you that there are few small courses which they offer partnered with IBM.But these small courses are available for free on Google.They mislead you with the certifications.Be aware guys.Do a need neat research before joining the institutes.This experience was an eye opener not only for me but all also my fellow Jigsaw friends.
Did not get much placement assistance which was promised during the admission.In a way I should get some refund for the misleading information they provided.Pathetic",1
Shaheed Mohamed,Jigsaw is the next best thing to get you to your path to success. The IPBA course in collaboration with IIM Indore is a well structured program and has the right balance of fundamentals and practicality to get you ready for the real world. Very accommodative staff (especially Moses) and learned Faculties with lectures that keep you motivated to explore more.  The past 10 months were really nice and had a great experience. Thank you.,5
Apoorv Vats,"I was enrolled in Business Analytics program that was conducted by Jigsaw academy and IIM Indore, the knowledge they provided was fantastic, the program coordinator Mr. Moses Kola made sure the program was run flawless and his support was backbone of this program. The professors from IIM-I were fantastic. Good work Team jigsaw",5
Harkesh Puri HUF,Jigsaw is the next best thing to get you to your path to success. The IPBA course with collaboration with IIM Indore is a well structured program and has the right balance of fundamentals and practicality to get you ready for the real world.  Very accommodative staff (especially Moses) and a learned Faculty with lectures that keep you motivated to explore more.  The past 10 months were like a vacation especially on sat and sundays where we were glued to our classes for atleast 5-6 hours ... going to miss all that...,5
Souvik Ghosh,"This was my first time going into the field of Analytics. With the help of Jigsaw, my journey seemed simpler and more industry oriented. The syllabus was up to date and well structured. Not many courses have such a vast coverage of topics! Extensive materials were provided; instructors were great too! Would recommend!",5
Richa Bhide,"Jigsaw academy is a very good place to start your journey of people analytics. Good, highly skilled tutors and online study material is available. It opens doors to the new field of analytics for HR professionals. Thank you Jigsaw academy.",4
Ravika Srivastava,"Excellent classes for People analytics and digital HR. Online sessions with jigsaw & IIM professors. I have learnt a lot. Jigsaw is always open to teach from the basics, they handle your each query, humble mentors.",5
Amrita Jairam,"I did my Post Graduate Program In Data Science and Machine Learning from Jigsaw Academy, the entire experience was very good. The lecturers are highly knowledgeable and quiet experienced in Data Science & Machine Learning field. They shared a lot of real time experiences as a learning to us. Program Coordinators as well were very helpful and supportive all the time. However, like the institute name goes 'Jigsaw', the course module is also like a jigsaw puzzle, the program structure are in bits and pieces, you will be confused as “where am I” and “what I’m doing” they load you with lot of assignments, which were annoying during the course but you will realize that they were the best way to learn the subject. You really need a lot of perseverance and patience towards each and every chapters in the course and wait till the end to solve the puzzle. All and all Jigsaw is a good Institute to help you excel in Data Science and Machine Learning.",4
Murali Sairam,"I joined jigsaw ipba batch 7 in Jan 2021 and the course , faculty and fellow students made the learning experience really fast and smooth. The IIM degree and alumni status helps to make your resume shine out",4
Swantika Saha,"Loved this course on People Analytics and Digital HR, Amazing faculty from IIM-Indore and helpful coordinators from Jigsaw Academy (Irshad Khan). I would recommend this course to every HR professional who are eager to understand and work on Regression problems for forecasting data and for finding out parameters dependent on HR metrics using statistical models. Sound knowledge in mathematics and programming would be an added advantage to learn the concepts faster in class. The syllabus is robust and holistic, which has subjects on Linear Regression, Logistic Regression, Data visualization using Tableau, Regression on Python, HR concepts, to name a few. During this course of 3-4 months, you would be rated based on the projects on real time HR data, 2 graded assignments and also your attendance. I thoroughly enjoyed this course and my project with my team mates.",5
Ketan Chaudhari,"Bad experience with online training. After some research and review, I joined data analyst course. Before joining course, consultant from jigsaw provided good information. But after joining the program, felt like I wasted money.
Course Structure is not as per industry.
Faculty teaching like they are just reading some manual.

Yes, I agree that there are some faculty who are good but sessions from such faculty was only small part and most of part covered by non experience person.

After trying to take refund, got to know that I wasted time and it's too late to ask for refund. There is so much to write but......

I will not recommend this institute for online training program.

Email: Change of Faculty Request

Please go through this email. And let me know what alternative options you would like to give.",1
Pavan Madhukar,"IPBA is the best course from IIM indore with jigsaw academy. Faculties are super good they are so knowledgeable about the topics and very much cooperative and when it comes to jigsaw support Moses, he is the best person you to contact for any matter regarding academic or backend support he is also being super cooperative to all the students, I recommend everyone to join this course..!!!",5
ajay singh rathore,"Great learning platform with well designed program in Product management where we got best of faculties to teach from Industry and IIM Indore.
IIM Indore was only the reason that I enrolled for it.

Experience to apply the learnings with the help of mentors and great learning friends/partners.
It was a real joy to learn with so many experienced and budding managers.
Thanks IIM Indore.

7 star for IIM Indore and 3 star for Jigsaw.",4
Prashik Patil,"I recently completed integrated Program in Business Analytics from Jigsaw Academy.
Teaching experience is very good from basic to advance, I learn a lot of new technical things to improve my key skill and know how Machine learning and Big Data.
Jigsaw is nice place to explore Analytics World. Content Wise Courses are very good

Thank to Moses, Jitendra, and all professor to give me this opportunity to join IPBA course and IIM Indore",5
Shweta Kamath,I had enrolled for 3 months People Analytics and Digital HR course from IIM Indore through Jigsaw.The experience was amazing.The faculties and professors were very patient and it was a great learning.Our coordinator was always there to help us.On the whole it was worth the money spent.,4
himanshu bholanda,"I was part of the Post Graduation in product management program, amazing faculty from IIM Indore with key learnings from industry experts and support by the Jigsaw team. the BYOP project being the USP of this program. it works like a booster shot for anyone whose looking to learn about product management in any industry and go deeper into this domain, while also learning from the amazing group of diverse Peers you interact with during the program followed by the immersion & convocation at IIM Indore. Which helps you in your career growth while also developing skills which accelerate your career as a working professional.",5
B Nagarjuna Reddy,"I have enrolled for IPBA program collaborated with Jigsaw Academy which helped me to change my domain, Thanks to Jigsaw and IIM Indore, special thanks to Management Providing such a great program coordinator Moses Kola. Without his support we wouldn’t have completed the program successfully.",5
Anshuman Goswami,"Jigsaw academy is good place to learn business analytics. I have enrolled my self for its IPBA program and which is completed now few days back. Based on my experience I can say that overall its a good program for Data Scientist/ML engineers/Data Analytics aspirants. IIM professors are very good and their way of teaching is very good. Jigsaw faculty is also very knowledgeable and experienced Jitendra Manwani, Anil Parashsar are name of few.
Real gem is our Moses Kola. He is coordinator of the IPBA program and one can contact him anytime even during late night hours. You will surely get reply.  He has helped us  in many ways, multiple times he helped us arranging extra sessions.
Thanks all the faculty member of IPBA program for helping me to upskill myself.",5
pranay naik,"I  enrolled for Big Data Analytics and Data Science with R course . Overall ,the course content is very structured and easy to follow . Instructors are always available for any help . The course has helped me to get a kickstart in Data Analytics journey . Overall a good learning experience !!",4
Rahul Tilak,"It's a nice place to learn Analytics, the location can't be better than this, the staff and the teaching staff is pretty friendly , the classrooms are pretty neat, everything is well organised, things happen on time ,they have lot of job opportunities, this place is surrounded by many eating options so during lunch u can go grab a quick bite and be back to study before the class starts",4
Animesh Parikshya,"I had enrolled for IPBA course in collaboration with IIM-Indore, India which for 10 months period (+12 months more access for revision), this course gives an in-depth knowledge of data analytics, Machine learning and data science. The Professors in both IIM Indore and jigsaw is very knowledgeable and explain all the concepts from the scratch. The quality of the content for both Live and pre-learning videos are very easily understandable. Student concerns are resolved within no time. The support team is great, a special thanks to Mr. Moses Kola who takes up the concerns very seriously and is very supportive throughout the course period. The students will really enjoy the learning curve but have to put there best in with little patience. At the end of course there is a Convocation on Campus at IIM Indore with a lifetime IIM Indore Alumni Status (This time it was Online due to COVID-19 but will also have a in person once situation is improved)",5
Rajesh Rajagopal,"I have completed the full stack data science course in Jigsaw, overall I have great experience, the content of the course and lecturers are really great.",4
Bhaargav Lakshmanan,"I completed IPBA offered by Jigsaw and IIM Indore.
The course was very well structured and delivered with great passion by Jigsaw and IIM-I faculties. Jigsaw LMS materials offered head start to the concepts, and with classes & projects allowing for hands-on coding on analytics and ML techniques, and detailed explanation on the topics. Data science subject is extremely vast with Statistics and algorithms having rich literature. I think the IPBA faculty team from Jigsaw & IIM-I did a great job in touching the core areas, setting in the necessary concepts and providing working demos/code for several key techniques & models, to allow one to further explore and navigate through this vast field. Throughout the course, the lectures were delivered by academicians with vast research and large-scale project experience in core subjects like statistics, rdbms systems, and big data tech. or by faculty with specific implementation experience in applying data, data science techniques and algorithms, visualizations. Attending such classes during weekends, and learning from offline videos/lecture notes through out, has probably been the best of use my weekends and spare time. Thanks to Jigsaw team esp. Mr. Moses Kola, (coordinates the program) who is always there to help and ease things out (not by moving test dates :P, but by offering positive perspective on things and his encouraging words) when the course got hectic during later half. Overall, this course is a great way to acquire analytics/ML/NLP/BI/Python/R/SQL/SQL/Spark/Tableau skills, very professionally run and offering great networking opportunities including access to IIM I faculties, industry experts in Jigsaw faculties, and peers with varied experience.",5
Shalesh Nath Sharma,"I am a graduate of University of Chicago with majors in Data Science & Machine Learning in Post Graduate Program in association with Jigsaw Academy. The course was great with intellect faculty in Data Science & ML. The back-end supporting staff was also good. Even during the pandemic, things were managed quite effectively. Good hands on experience.",4
Mahesh Ambekar,"I have attended the IPBA (Integrated Program in Business Analytics) offered by Jigsaw-IIM Indore in collaboration, and it has been a great journey of learning and understanding the concepts and nuances of the Data Science and Business Analytics.

Course is a very good blend of the theory, statistics and a practical use/application of the same in the real world scenarioes. Learning Path and Curriculum designed for the course covers pretty much all the aspects of the Data Science and prepares you to work on the real-life problems at hand with much more confidence than you have had before joining the course.

Faculties and the staff is very helpful and patient in handling multiple requests and questions that students have from time to time. Project mentor (Kiran Kumar) assigned to us for the last leg of the course (Capstone Project) helped us in understanding how to approach a problem scenario with a step-by-step process and also kept us in the right direction of the project work.

Course coordinator Moses had been a great help in ensuring students have the right answers and support at the right time, be it any time of the day/night!

Overall a great learning and a right course to have for getting your hands-on knowledge on Data Science!

Thank you,
Mahesh.",5
Srimurali Krishna,"Jigsaw Academy is the best place to learn business analytics, as they are tied up with IIM INDORE it makes even better . I am from batch 6B [2020 -2021] of Business analytics [IPBA]. In jigsaw the response was quick and support team was really helpful , specially program manager  Moses Rahul was very helpful any time you message he will reply and helped us a lot . Jigsaw Academy is very flexible with the students whether their are working professional or they are students. JLC , the learning portal from Jigsaw was quite good , to learn and practice.

IIM INDORE professors are really cool and very experienced lot to learn from them , they are really helpful at times, they backed us a lot . Prof Pritam Ranjan our program coordinator [IIM INDORE ] and Jitendra Manwani our Program head [Jigsaw Academy] both  will take a great care of the batch , they arranged extra class when we needed.

THE BEST INSTITUTES TO LEARN BUSINESS ANALYTICS. IIM INDORE AND JIGSAW ACADEMY.",5
Rajat Bhatnagar,I enrolled myself for Product Management PG certification and I must say that my learning has been nothing short of great. The curriculum has been one of a kind which enables working professionals to scale up and develop the skills required to go a notch above. This experience has been truly world class. I recommend this curriculum to all who are looking to learn the mantra of becoming a problem solver. The student support has been impeccable and available whenever needed.,5
alice rajan,I enrolled for IPBA course in collaboration with IIM-Indore. This course offers all the required concepts and covers most of them which helps a candidate to know and understand. I had no experience nor knowledge in this but this course has helped me to understand from the basics. The faculty is good and especially Mr Moses who has been a great support for all of us and also arranged extra sessions on the topics that required more attention. Thanks again Jigsaw and IIM-INDORE,4
R Srinivasa Raghavan,"Hi,
I just completed my Post Graduation program in Data science and machine learning form Jigsaw academy last month. The content provided in this course is really good. Though i am from non IT Background I am able to learn faster as the course is designed as if we can learn form a very basic level to advanced level. The support provided from lecturers and mentor's was very helpful even in this pandemic situation.",5
Varsha Singh,"I had undergone a course on People Analytics and Digital HR (PADHR). It was a great learning experience with relevant course content, presentation and learning material.",4
Ankit Nidhi,"I have enrolled myself for Business Analytics(IPBA program) which is a joint program run by Jigsaw Academy &  IIM-Indore.My journey till date was nothing more than a roller coaster ride. Being a banker by profession this is the best program for working professionals who are interested in acquiring  skills for data science and business analytics and aspire for data scientist roles as a career goal. By joining this program i learned many analytics tools which are relevant in data science field and help us analyse the data in better way. The Structure of the program is designed in such a way that it focuses on understanding the concepts of each subject and topics in detail with practicals including case study ,faculties i must say are very cooperative and knowledgeable for a program like IPBA. Yes it is a challenging course and it will take hell lot of focus and dedication such challenges have sharpened my soft skills and attention to details. Faculties like Prof Pritam Ranjan, Bhavin Shah and Jitendra Manwani are the best, i really look forward to their sessions and keep revising my topics for clarity on repeat for complete understanding of Analytics and data science concepts. They have made this program fantastic and simple with their way of teaching and with Moses as fantastic program coordinator i have always got a prompt response and support for the technical and non technical issues during program. The mechanism for resolving any issue by raising ticket helped resolving many issues. Issues such as conceptual clarity for any topic not understood, faculty member issue, Assignment issues,etc. all were being handled in smooth and hassle-free manner.  Last but not the least i would thank my councillor Sampoorna for maintaining the transparency throughout the program which helped aspirant like me to take decision clearly.",5
Ayaan Chavan,"Recently I have completed my certification from IIM Indore associated by Jigsaw Academy for Integrated Programme in Business Analytics. It was a great learning platform to start a new career. By the end of this course I could see myself more potential to start my career as Business Analyst. The faculty and team members have helped me out to understand the concepts very well. Their quick response has helped me out to solve all my queries in time. This definitely levels up your career if you are determined and focused and the IIM association further increase the value. Pre-hand experience over tools like Python, R, SQL leverages your understanding and is highly advantageous.
A good start to a great career is here...!!!!",5
Sahjad Farouqui,"I have enrolled for the Integrated program in Business Analytics (IPBA) program.
Overview: The program is quite good if want to enter the Business Analytics field. The course gives a broad understanding of the various options and branches of the Business Analytics Field and covers all the important topics like Statistics, Time Series, SQL, Python, Machine Learning, Tableau. Everyone including non-coders can join this program. Basic programming will be taught in the classes.
Classes are conducted during the weekend which covers the practical and theoretical concepts. If required the faculties even conduct the extra classes.
Case Study is taken for most of the topics which gives a better understanding of the topics and a practical approach towards it.
Also for the topics covered, at the end of every topic there will be assignment which will be either MCQ or Case Study based.
Towards the end of the program there will be a capstone project which either the students can bring on their own or Jigsaw will provide, where everyone will be working in groups which will basically cover the things covered in the whole course.
Also, on successful completion of the course you will be getting IIM Indore Alumni status which will be helpful for the placements.

Faculties: There will be faculties from both IIM Indore and Jigsaw Academy. The faculties are very good and are having good industrial experience.
Course coordinator Mr. Moses is quite helpful who is always available to sort any problems and anything we want to convey regarding the course, the faculties, arrange extra classes etc.

Overall this course is quite good for someone who wants to switch to or enter the Data Science field.",5
Leela SaiNadh Gade,"I have been student of latest batch in Cyber Security(Red Team), HackerU course from Jigsaw academy. I must say, this course have everything which helps a student build deeper knowledge in red teaming concepts. This course is not just meant for professional. It is framed in a way that a person who is new to IT field can learn things easily and master them in a very interesting way. Well structured, good material and practical knowledge will be gained. Faculty here dedicates all their time for teaching.",5
Rigved Hebalkar,"I chose this certification because of my passion for People Analytics and it has proved to be one of the best decision of my professional life.
It really feels good to be associated with Jigsaw Academy and IIM Indore for People Analytics and Digital HR Certification.
Faculties are truly having in-depth knowledge about the topics they teach and interpret.
Even the support team and program manager are very agile in solving our certification related queries.",5
Arpit Dhawan,"I am currently pursuing IPBA (Integrated Programme in Business Analytics) Program from IIM-INDORE which is delivered through Jigsaw.

It is a great experience, however it has its ups and downs like every other course.

They have a great supportive staff and faculty and are very prompt in answering the queries esp. Moses who is available on Whatsapp and call.

The classes can be a bit difficult if you are not from a technical/analytical background.

Overall great learning experience and I hope they can reach further levels by considering the feedbacks from the students.",4
Pooja Jagadish,"After doing much research on the best analytics coaching institute in Bangalore, I joined jigsaw academy boot camp classroom program.
The sessions were very informative and eat too understand. Doubts were cleared and the concepts were made easier to understand. I would recommend this institute for any working professional or a fresher.
Real time examples were given in explaining each concept. Timely quizzes were conducted and the videos were extremely helpful. They even offer 100% placement assistance with mock interviews and Viva.
The support from the team was good. As a working professional and a student of jigsaw, I am happy with the data science boot camp classroom program which I opted. It's worth!",4
Nithin J,"Three aspects and my review for them

1) Course content - The pre class videos were more than sufficient for you to get greater understanding over the subject.
The Live class was more of a revision/learning and clearing the concepts learnt in the pre class video.
A suggestion to the team here would be - > If you can add some post class videos (self paced) , it can give us more insights about the subject.

2)Jigsaw support - I would give a 5 on 5 for this facility because the very thing that anyone would want when they are stuck somewhere is assistance and all my support tickets were addressed with 24hrs and most of them within 10 hrs of time.

3)Placement assistance - This facility only begins after we submit all our assignments and get our final certification. this ensures that we are partially eligible to start attending interviews. Resume reviews, mock interviews with the faculties and assistance before interviews is something that needs to be appreciated.

I personally liked my duration at the course.",4
ankitha sm,"My experience was great in jigsaw academy, I have enrolled for full stack data science, initially i no nothing about data science course and tools they use for...

Basically they start with Excel tools, tableau, R programming, statistical models, python and finally machine learning. These are very interesting topics to learn and at the end of this data science course I am pretty good at all tools. Faculties are very supportive and teaching was excellent. They also offers for placements with 100% of assistance. Jigsaw is the best academy for analytics in Bangalore.",5
GSK Krishnan,"Really liked the IPBA data analytics course sponsored jointly by Jigsaw and IIM (I). Its a well balanced course to introduce us to various concepts. The student rep is very responsive and is available to address all questions. Moses, who was our point of contact from Day 1 all the way till end of the course was so understanding, responsive and able to empathize and resolve all our queries, great Job Moses !The course is professionally conducted and also propels a lot of self study which is imperative in this field...Regards GSK",5
Nikita Soni,"After a lot of research, I got to know about Jigsaw Academy from Analytics India Magazine. I am currently pursuing the Full Stack Data Science program which is an Instructor-led program. The course is very well designed.
They practically groom you.
Faculty is also supportive especially Kafeel Sir who has helped me a lot in solving all my doubts.
Support Team is also very helpful in solving all the queries.
I will highly recommend this institute for whoever wants to take up their course.",5
Senthamizhan Panneer Selvam,"I am a current student of the IPBA course with Jigsaw Academy, I was looking at a course that will help me more in understanding the vast domain of data science and business analytics & also to climb up my career ladder, in fact, IPBA has helped me achieve those in my career.

It is indeed a very comprehensive program it covers the technical and business aspects of the application of analytics and data science

The faculty quality is exceptional, they come with a great industrial Experience, bringing in a practical as well as a very good hands-on approach to each topic which is what makes Jigsaw stand out!

Let me tell you that the support team needs a special mention and especially the program coordinator Mr.Moses Kola, they are an incredible team because they have been very prompt and positive to respond to my queries and issues.

Overall I had a fantastic experience with this course and a huge shout out to Jigsaw Academy",5
Keerthi Vadeyar,"All over the course content was so informative and the hands on project which was given, made me get the practical knowledge of the concepts in whole. However I was able to attend the classes only for 4-5 months regularly due to some personal issues. Rest was all based on the course detailed videos which were uploaded on JLC. The assignments given on each concepts made me understand the particular topic thoroughly. The Jigsaw team is more supportive and responsive in all the cases except few. Faculties assigned for particular topics were clear and knowledgeable in terms of concepts.",4
Rini Jacob,"Bootcamp in Jigsaw is a comprehensive course one can do to complete understanding of the data science world.

I joined the January batch for 3 months weekend course and I am satisfied with the course. Right from basics of Excel to Machine learning algorithms everything was explained a in a well aligned manner.

R language was used during this course and all the necessary concepts were covered. SQL is an optional course which is self learning and the doubts can be cleared with the faculty. All the issues were addressed in time and the staff in Jigsaw is quite responsive and supportive.

There is continuous support for placements if one is interested. All in all this has been an enriching experience for me. I would recommend this course for anyone wanting to start their journey with data science.",5
Chirag Dhawan,The experience was truly enriching with great mentors and faculties. Got an opportunity to network and meet wonderful Professionals via this course. It has been a great learning when it comes to Analytics! Thank you for the opportunity to explore and learn in the field of Analytics.,5
shaheen shaik,when it comes to Analytics I would strongly recommend Jigsaw Academy. The instructors and faculties make sure to cover each and every concepts from the basic. One can see a huge development and confidence in the knowledge gained.,5
829 Pratham Panchal,"I have 23 years of experience in manufacturing Industries. In search of adding skill of competency I came to know about this course by email. Jigsaw Data Science course is well design course it give full understanding of course. Video class, Class recording and case study of each topic is very well covered. I enroll for data science course in Feb-2018.I have no any computer education background still I understand course content very well because of it course design. Faculty of Jigsaw is very well supported and provide resolution of our each query regarding course topic and general support. If I say this course practical use is to resolve business problem and sustain your business in today’s digital world.  Data is a heart of Business and its analysis by Data Scientist enhance the possibility of business growth, business solution and customer satisfaction.   I am really enjoying learning with this course.",4
Murali Sundararajan,"One of the best online institute for analytics course training. I had completed the Analytics with Excel and Visual Basic for Analytics programs through jigsaw it was great experience for me to learn at my own pace. Course contents are good and easy to understand and learn. The case studies helped me to understand how to solve the problems. In terms of the faculty support it was really up to the mark. Whenever i raised any concerns it was resolved within the stipulated time. Such vivid experiences made my choice to do analytic with Jigsaw really awesome.

The class videos are easy to understand and explains in a simple way and it's really helpful for my current job.

I appreciate their 24/7 support, it was very helpful to me.

I will also be taking up other courses as i feel it will give me the same value which other courses gave to me.Overall, this has been a great experience and would recommend to my friends who are busy to go to classroom training.

Great training experience!!!!",5
Kalyan Parimi,"Just when the pandemic started I enrolled in this course IBPA-IIM Indore, for data analytics as I was in need of a transition to data analytics field, with the current work experience, just before completing the course. Jigsaw was able to provide me with an opportunity with a Big Four firm. This program did help me in understanding on how to progress with a Business problem and take it to the end. Would like to take this opportunity to thank the efforts of Jigsaw and IIM-Indore in making sure that we were given the required materials along with accesses. Special thanks to Moses for quick assistance on everything when needed.",5
Abhijit Datta,"A few weeks back, I completed my Post Graduate Program In Data Science and Machine Learning from Jigsaw Academy.  The entire experience has been fantastic and eventful.  The professors/lecturers were all well versed with their subject and they were readily available & helpful.  Even though the program was really hectic,
demanding, sometimes nerve breaking, but the entire journey has been a wondrous one. The Academy provided us with extra classes as and when the position needed.
One need to serve plenty of assignments which will certainly give sleepless nights in days and weeks, but there is a sense of achievement after going through this struggle. For me, Jigsaw Academy is certainly synonym of the word ""trust"". Especially,
I want to mention two names, Mr. Dipyaman Sir, for aiding us with our Capstone Project, and Mr. Irshad our coordinator, many times helping us out of the path.",5
Vivian Rajkumar,"Great course. The instructors were good and I gained a lot of value. As a CS graduate, this course gave me a lot of insight into how companies leverage CS topics such as machine learning and NLP to make business decisions. Throughout the course, Moses was of great help. He answered all my queries regarding the course and gave us students constant updates on assignment and project deadlines. Highly recommend!",4
nithyalakshmi M,"I am currently doing my Data Science course in jigsaw.The key difference is the faculty addressing each issue, discussing with you over a call, as soon as you create a ticket, quick turnaround faculty support. Also, when asked for additional support, apart from the course, they were more than happy to support me, which is according to me a great learning experience.
Each member of the Institute, faculty, support members, Staff are real gems in each and every way they could to help the candidates.Jigsaw has helped me expand my knowledge and skills adequately. I enjoyed the course material, which was very well structured and the instructor videos were of good quality, and the instructors oration was very well paced with live examples and system access, that helped adequately visualize the concept and hands-on approach.",5
Mithun Chandrasekar,"I have been a part of Jigsaw's Boot Camp and I have thoroughly enjoyed my course. The content of the course is very helpful for someone looking to understand more about Data, Business Analytics. The modules in the course are very diverse covering a range of topics from basic analytics to machine learning. The staff here is very polite and helpful, especially the support team, I would like to mention Chandan, Divya, and team for their support during the duration of the course. Definitely an institute to recommend for!",4
Arun Krishnan,"Jigsaw Academy's 3-months intensive Bootcamp course is the best option for someone  who wants to pursue a career in data analytics.
It's a good program with all well experienced teaching faculty ( mostly people who are also working in very good positions at best firms).
The classrooms and facilities are good.
The Non-teaching staff (Mr.Giri) has been a great support during & after the program for any concern if one had to address.

MY Suggestion for people who are reading and planning to join this course would be.
Please have a basic understanding about data analytics and also be good with statistics and logical reasoning. It will help you a lot in the learning process. Invest and join the course only AND only if you can give you're 100%.",5
Rakesh Jayaprakash,"Jigsaw academy's Data Science program is a excellent course that a person absolutely needs to taken if they are interested in Data Science, they have hit a perfect balance in the course were it teaches the basics of Data Science and also Dips into the expert level without losing sight of the students capacity.

The support staff ( Especially  Giriprasad M ) are experts so know the ins and outs of the course and are willing to help with students needs.

The Faculty depends on the course u to take and Data science faculty were good at put concepts across and helping us understand and learn core concepts.",4
sunny surve,"First for most, I must acknowledge without hesitation that learning was superb, great and wonderful. Personally speaking, It was a very long time back literally when I had studied during academic.
There was anxiety before commencement of the program that I be able to continue studying parallely having a profession?
But course designing and all weekend schedules have been utmost flexible, where I could not find a single glitch. My many thanks to all faculties for having vast knowledge and being given opportunity to learn from their individual experiences.

Mr Moses, I must say that he is a life line support and most approachable.
He has been responsive no matter how busy he is, rarely could have an instance call go unanswered.
He has been instrumental in providing clarification and furnishing materials. I recall his kind help especially when I was down with COVID19 during 2nd wave.
Approaching him justifies indeed he is IPBA support line. All conversations related to IPBA, ever felt reaching out to a friend for help and was served immediately.
My big thanks to him.",5
keivaly Pujara,"Hi,
I’ve recently finished full stack data science program by Jigsaw Academy. I have studied Automobile engineering + Management, with no experience of coding whatsoever, currently working with JSW steel in channel sales. I had a couple of subjects on business analytics and BI during MBA wherein I had gotten a flavour of what analytics is and when I was looking to upskill in this particular area I came across Jigsaw academy’s NASSCOM certified online program. It was instructor led, every weekend 3hrs session each.
I would highly recommend the program for anyone who wants to start from scratch, here’s a list of few things that I really liked about the program:
1. Breaking down of concepts: The faculty was really amazing and he broke down every machine learning concept and explained it step by step so simply and with such depth that one would develop a natural intuition for understanding of those algorithms. We would understand everything from the point of view of Mathematics, graphical understanding, intuition, coding and finally the business application.
2. Even though I didn’t have any prior experience of coding, it was taught from basic and for every algorithm we would do real time practice for coding the same. By the end of the curriculum, I was able to code in both R and Python efficiently.
3.  One of the biggest advantage for instructor led class v/s MOOC is the doubt clearing sessions, for any assignments that you have, can always raise a ticket and doubt was resolved within hours!
Probably the only suggestion from my side to further improve the program would be inclusion of couple of more algorithms such as SVM, Monte Carlo, light boost, xgboost etc. And also Tableau was self paced, perhaps they can include a live lecture on that as well…and those students who done FSDS, they can perhaps provide a cheaper Deep Learning add on course.",5
hemang dagha,I have recently competed my FSDS certification with Jigsaw Academy. And my journey with the institute was very fruitful and knowledge. I have worked on real time projects : Machine learning algorithm using python and did detailed statistical analysis using python(jypther notebook) . I got an opportunity to explored Tableau (Data Visualization tool). Other than that I got prompt responses and assistances on my queries.,5
Hiral Dave (Hiral Vyas Dave),"After going through web reviews, I enrolled for Full Stack Data Science program at Jigsaw Academy. Videos, transcripts and assignments are quiet useful for a good start in the field of Data Science. What specially I liked about the course is Capstone project and Viva process which makes person  understand the concepts thoroughly. Support faculty is very helpful.",4
Rabi Jaiswal,"I have completed Full stack data science program from jigsaw academy. Before joining i did a lot of research about which institute to join for data science program and i found that jigsaw academy was  the top institute for analytics and yes it proved to be right. Data science is a field where knowing concepts is very important and jigsaw faculties have explained concepts of each topics from scratch.  After the end of my course i am confident about concepts and tools required for a data science project  . For coding they have taught us how to code in tools R,Python and Sas.  My experience has been wonderful and i would recommend people who aspire to come in the field of data science should join Jigsaw academy.",5
Afzal Veettil,"Learning Data Science at Jigsaw has been an awesome experience. I joined the course with a lot of apprehension about the content, but the pre-class videos eased my learning experience and follow the actual class easily. Like any online courses, you have to be self-motivated, but the faculty has been very supportive as well as very knowledgeable in their areas. Jigsaw has a good team, faculties as well as the support staff. I recommend Jigsaw as a great place to start your journey in to the world of data science.",4
Jasper Sheldon,"I did Full stack data science program with Jigsaw academy. To begin with, First their content is very good for beginner to start with.Their teachings and explanations are too good. Second is the value for money ,They did justice to the money i spent i'm totally satisfied with the content.
Next to talk about is their mentors , I did online classes with them so its very fast paced so most of the time i needed help they supported me through out the course. Help and support team attended every query of mine immediately. Their placement team was also very helpful.

I learnt Tableau,R,python and statistics from the course I highly recommend this course if your planning to switch over to data science.They provide everything for you to begin with. Real time projects and mostly those assignments will make sure you learn everything.Apart from this their external sources they provide will lend you hand at times when you struggle.So thanks Jigsaw .

One humble request , i would suggest a update to the topic related to machine learning in python. It had a good content i'm not denying that but a deeper reach out and explaining about all the other algorithms ,regularization, cross validation would be good for beginners to lean.

Thank you for the amazing learning experience!!!",4
dravid deedfoot,"Completed Big data specialization course from Jigsaw. Course is well structured and easy to understand. Hands on experience via Lab and case studies make it lot more interesting to learn and grasp the content. Faculty support is good. Apart from the course, Jigsaw hosts lot of competitions where students can connect with industry experts and learn by working on projects in the competition. Really appreciate Jigsaw academy's efforts to conduct such events and engage students. Jigsaw is like a family. They have helped me build my profile in all possible ways and were always there when i needed them. I would recommend students and working professionals who want to get into big data analytics to join the Jigsaw community.",5
